Business Name,Description,Business Segment,Telephone Main,Cell ,Email,Website,City/Town,Business Address,map_lat,map_long,logoURL,Locality,County,Street Name,Building,Twitter,Facebook,Linkedin,Youtube,Instagram,Claimed Statues,Gallery,Tagline,Price Statues,Price From,Price to,Price Plan,Business Hours,Features
"School Bus Safety Association in Kenya, Nairobi","This is an association pulling together the schools- (nursery,primary & high schools) colleges and universities all over Kenya. an empowerment and support network . where we believe that when we come together then we shall do much, accomplish it big and go very far. we believe in unity of purpose. we aim to promote road safety for  school bus drivers , our school buses, and  our roads, through empowerment, education , support and networking, we enhance partnership and linkage to other stake holders. We work with  school bus drivers, principals, transport managers, school directors, and many more.our Head office is in Nairobi, with branches in each county all over Kenya.contact the coordinator on  0722 39 88 79.",Transport & Allied Services,0722 39 88 79,0731 130 130,schoolbussafetykenya@gmail.com,,Nairobi,P.O BOX 7056 00200 Nairobi,-1.2920659,36.8219462,
"Finclock Enterprise Management Systems, Nairobi","Provider best staff management software and applications. You will track employee attendance, performance and generate timesheet reports. Using the full HR system, you will save time and money. Find more at https://finclock.com/attendance-management/",Computers - Software and Services,0705757151,0207853578,support@finclock.com,https://finclock.com/attendance-management/,Nairobi,"Mirage Tower 2, Westlands Nairobi",-1.2700631,36.8076804,https://www.kenyaplex.com/businesslogos/99017.jpg
"Pro-Alarms Security Limited, Nairobi","Pro Alarms Security Ltd is a Kenyan company, established in the year 2012 to provide integrated electronics security solutions and security Guarding owing to the rise of insecurity in the country. Over the years we have been steadfast in offering our services based on quality, efficiency and professionalism.Dealers in:Security GuardingElectric FencingAccess Control ie Biometrics, Turnstiles, mantrap etcCCTV SurveillanceIntruder Alarm systemsRazor Wire & Welded wire mesh.Gate Videocom Systems.Road barriers, Bollards, Claws,Electrical & Solar System Services",Security,0720116088,0733 909 825,admin@proalarmtec.co.ke,www.proalarmtec.co.ke,Nairobi,"TOP BRASS HOUSE, 3rd FLOORNEXT TO NAIVAS SUPERMARKET-RUARAKA, OUTERING ROAD OFF THIKA ROAD,",-1.2477464,36.8725365,https://www.kenyaplex.com/businesslogos/99016.jpg
"Jumia Kenya Blog, Nairobi",We review products on Jumia Kenya and other e-commerce websites in Kenya.,Advertising Companies,0710521652,,hahsiam86@gmail.com,https://jumiakenyablog.com,Nairobi,Thika Road Nairobi,-1.2165178,36.8947949,
"Viral Gorrila, Nairobi","Viral Gorrrila is a digital marketing and advertising Agency that carries out social media managements and advertising, Google advertising, website design, graphic design, influencer marketing and more to suit our clients budgets and visibility goals, for maximum ROI.",Advertising Companies,0736250638,0721382596,viral@viralgorrrila.com,www.viralgorrrila.com,Nairobi,"Ndemi Lane, Branton Court. Ngong Road",-1.3007891,36.7775622,https://www.kenyaplex.com/businesslogos/99013.jpg
"Adventure My Take, Nairobi","Adventure my Take offers  budget safaris,mid-range accommodation,luxury accommodation to most beautiful parks in East Africa i.e Kenya And Tanzania like masai mara,lake nakuru,lake naivasha,Amboseli,lake Manyara,Ngorongoro,Serengeti,Tarangire .We also do Air Ticketing helping our client to book there flights all over the world and helping them make there travel dreams come true!Website: www.adventuremytake.com",Tours and Travel,+254714602334,+254 745 961 228,adventuremytake@gmail.com,https://www.adventuremytake.com,Nairobi,"Nairobi, Kenya",-1.2920659,36.8219462,https://www.kenyaplex.com/businesslogos/99012.jpg
"Suba Youth Foundation, Mbita","SubaYouth Foundation is a Non-Profit Organization that helps break the vicious poverty life cycle, ignorance, and isolation in development. We majorly focus on entrepreneurship, agriculture, education, and vocational training, talent promotion and development, research and innovation as well as savings and credit facilities.",Social Service Organizations,0750916560,,info@subayouthfoundation.co.ke,https://www.subayouthfoundation.co.ke,Mbita,Mbita Causeway,-0.4193739,34.2060078,https://www.kenyaplex.com/businesslogos/99010.jpg
"Paptrack Systems, Nairobi",We work with speed.,Investigators,0722967822,0720157083,info@paptrack.ke,www.paptrack.co.ke,Nairobi,P.O BOX 30 30200 Kitale,1.019089,35.0023048,
"Global Media Klassik Ltd, Nairobi","Love technology? Here at Global Media we have a passion & reputation for Educational Marketing, Training, Integrated Marketing intelligence and Digital Content Production.#BeyondTheOrdinary",Marketing Consultants,+254780888080,,info@globalmedialtd.org,www.globalmedialtd.org,Nairobi,"M2 Mirage TowersChiromo Road, Westlands,Nairobi, Kenya",-1.2703882,36.8073374,https://www.kenyaplex.com/businesslogos/99008.jpg
"Sportsmith Impact, Nairobi","Sportsmith Impact identifies wide range of projects and activities through Sports, Art, Culture and Heritage community by supporting ideas, initiatives that strengthen lives of people in delivering, managing their space, talents and livelihoods.",Sports Organizations,+254 746 72 96 29,,africa@sportsmith-impact.org,www.sportsmith-impact.org,Nairobi,P.O. Box 10374 - 00100 Nairobi,-1.2920659,36.8219462,
"Jungle Beach Safaris, Nairobi","Jungle Beach Safaris is a registered tour operator and member of Kenya Association of Tour Operators and EcoTourism Kenya. We offer domestic and international holiday tours and facilitate team building activities at very competitive prices. Our designs highlight great value packages across various budgets including camping, budget or luxury travel.",Tours and Safaris,+254722517566,+254771044755,bmmbuthia@gmail.com,https://safirikenya.com,Nairobi,"P.O.Box 15935-00509,Nairobi Kenya",-1.2920659,36.8219462,https://www.kenyaplex.com/businesslogos/99006.jpg
"Prism Ventures Limited, Nairobi","We are a Nairobi based BRANDING company that also specialises in STICKERS . We also do LABELS in any volume! We also do A5 flyers, drop/roll-up banners; wall banners, teardrop banners; branding for corporates and corporate events, and more. We in addition do graphic design; logos; company profiles; vehicle branding; parking discs; receipt and invoice books, business cards; A4 letterheads gift items and more. We also do all OUTDOOR BRANDING we are able to do on-demand; fast digital printing of any kind of label. We also deliver country-wide for an additional cost. We have two German-made machines; a Roland print and Cut machine as well as digital label printer. Tel no: 0795846993 or 0795847195. Email: prismventures8@gmail.com",Printing Services,0795846993,0795847195,prismventures8@gmail.com,www.prismv.co.ke,Nairobi,"1st Floor, Watersys Arcade Building, Keekrock Road;Opposite Keekrock House, Near Roast House; adjacent to River Road",-1.2808165,36.8250789,https://www.kenyaplex.com/businesslogos/98999.jpg
"Jeep Safaris and Tours, Nairobi","Jeep Safaris and Tours, a safari travel wildlife company based in Kenya offering Kenya Jeep Safaris, Tanzania Jeep Safaris, Uganda Jeep Safaris, Kenya Tanzania Jeep Safaris.",Travel Agencies,+254721695741,,jradula@gmail.com,http://www.jeepsafaris.net,Nairobi,Greenspan MallSavanna RoadNanirobi,-1.289474,36.90077060000001,https://www.kenyaplex.com/businesslogos/98998.jpg
"Zeenar Kenya Ltd, Nairobi","Manufacturers, importers & distributors of Zeenar compatible toners in Kenya.",Computer Stationery Suppliers,0722787177,0774787177,info@zeenarkenya.com,www.zeenar.com,Nairobi,"Valley View Office Park,City Park Drive, Off Limuru Rd,Tower B, 6th Floor.",-1.2581476,36.8301576,
"Get Online Kenya, Nairobi","Get Online Kenya is the leading Website Design Company in Kenya. We offer Website Design, Search Engine Optimization, Web Maintenance, Social Media Marketing, Web Apps, Company branding & Graphics Design, Domain & Hosting registration and management and Blogs for companies ranging from start-ups to corporate.",Web Design Firms,+254 726 136 000,,info@getonlinekenya.co.ke,http://www.getonlinekenya.co.ke,Nairobi,Westlands,-1.2682643,36.8111214,https://www.kenyaplex.com/businesslogos/98994.jpg
"JayD Cosmetics Centre, Nakuru",We are a the leading Cosmetics shop in Nakuru Kenya . Located at Free Area Next to Country Club.We stock and sell all types of cosmetics products in wholesale and retail.For more info visit our website... jaydcosmetics.co.ke,Cosmetics and Perfumes,0712260614,0772872845,info@jaydcosmetics.co.ke,https://www.jaydcosmetics.co.ke,Nakuru,Free Area Next To Oloika Country Club,-0.2946387,36.1189381,https://www.kenyaplex.com/businesslogos/98992.jpg
"Arkline Hardware Store, Nairobi",We offer Roofing Solutions. We Deliver!Want to purchase an item but don't have a way to get it home? No problem! We will schedule a delivery for you.,Hardware-Retail,0707606907,0735072048,florare.gie@gmail.com,www.arklinehardware.com,Nairobi,"Kasarani, Clay City near Car Wash Footbridge",-1.2318541,36.8779505,https://www.kenyaplex.com/businesslogos/98989.jpg
"BS Consultants, Mombasa","BIOSYSTEMS CONSULTANTS is an independent professional practice specializing in planning, design and management of architectural and interior design projects.we are a registered architectural firm in Mombasa, Nairobi & Kenya. we do our practice in the Kenyan region being an architect firm in Kenya.",Architects,0725068805,,info@bsconsultants.co.ke,bsconsultants.co.ke,Mombasa,"PJ Plaza, 2nd floor, Nyali, Nyali Road, Mombasa, Kenya",-4.051737500000001,39.6886782,https://www.kenyaplex.com/businesslogos/98984.jpg
"Real-Const, Mombasa","REAL Const is a construction company that provides both consultancy & construction services. We are a consortium of architects, quantity surveyors, civil engineers, project managers, property valuers, service engineers & contractors who are seeking to change the way consulting and construction is done.",Construction Management,0721113368,,info@realconst.co.ke,realconst.co.ke,Mombasa,"Nyali, Nyali Rd, Shree Plaza, 3rd Floor, Suite 01 Mombasa",-4.0515536,39.6876543,https://www.kenyaplex.com/businesslogos/98983.jpg
"Optical Impact Pictures LTD, Nairobi","We are a Film and Television production company. We also offer photography services, we can do corporate videos, events, music video, commercial adverts, EPK, documentaries and live broadcast.",Film and Video Production,+254722504697,,opticalimpactpictures@gmail.com,https://www.instagram.com/oipictures/?hl=en,Nairobi,6485 Ronald Ngala Street,-1.285254,36.8287229,https://www.kenyaplex.com/businesslogos/98982.jpg
"Trinational Tyres Ltd, Nakuru",We are doing Retread Truck & Tractor Tyres All Size. We can Pick&Deliver All over Kenya.,Tyres Retread,+254736391789,,trinationaltyresltd@gmail.com,,Nakuru,"P.O. Box:12410-20100Near GIDO PLAZA,Behind FMD East Africa K Ltd,NakuruKenya",-0.287199,36.0595268,https://www.kenyaplex.com/businesslogos/98980.jpg
"Hawala Logistics, Mombasa",Delivering Cargo To Your Destination.,Clearing and Forwarding,041-2242121,,hawalalogisticsgermany@outlook.com,https://hawala-logistics.business.site,Mombasa,Mombasa Kenya.,-4.0434771,39.6682065,
"Hillsgate Properties and Real Estate Limited, Ngong",Property Managers | Property Developers | Sale of Land and Apartments | Real Estate Consultants,"Real Estate Agents, Developers and Valuers",0738 311 645,0713 383 441,info@hillsgaterealestate.co.ke,www.hillsgaterealestate.co.ke,Ngong Town,P.O. Box 6091-00100Nairobi,-1.2920659,36.8219462,https://www.kenyaplex.com/businesslogos/98976.jpg
"Soin Cargo Handlers Ltd, Mombasa",We provide quality services as far as as clearing and forwarding is concerned.,Clearing and Forwarding,0712686851,0780833914,soincargohandlers@gmail.com,www.soincargo.com,Mombasa,P.O BOX 99120-80107Mombasa,-4.0434771,39.6682065,
"Neviro Company Limited, Nairobi","Neviro company we deal in house construction, renovation, landscaping,paintings glass matt and road construction.","Contractors-Building, General",0723805443,0711658526,info@neviro.co.ke,www.neviro.co.ke,Nairobi,21886-00100 Nairobi,-1.2920659,36.8219462,https://www.kenyaplex.com/businesslogos/98973.jpg
"Adlyf Painters Kenya, Nairobi","Proffesional painting contractors for all built environment painting needs,",Painting Contractors,+254705271036,,Addywazz@gmail.com,,Nairobi,"24290 - 00502 Karen,Nairobi",-1.316866,36.6903289,
"AA Shalom Cleaning Services Ltd, Thika","We are a professional cleaning services company in Kenya based in Thika, Kiambu county. Committed to providing quality, professional, environment friendly and efficient service to institutions, warehouses, factories, event premises, commercial and rental properties. We offer sanitary bins with safe and discreet sanitary disposal solutions. Our team thrive in gardening and landscaping we have the best team to help bring your perfect garden to life. We also do fumigation using special techniques and fumigants to eliminate pests, insects such as bedbugs (Kunguni), mosquitoes, coakroaches, rodents, bats, gekos and snakes from homes, buildings and processed goods.",Cleaning Services,0722830827,0728134824,aashalomltd2015@gmail.com,https://shalomcleaning.business.site,Thika,Thika CBD on Kwame Nkurumah street at Witeithie house 4th floor room No 433P.O.BOX 501-00100,-1.035094,37.0749575,https://www.kenyaplex.com/businesslogos/98971.jpg
"Teng Architecture, Mombasa","Architects, Interior Designers and Construction Project Managers",Architects,0771970642,,arch.koteng@gmail.com,,Mombasa,"Mombasa, Kenya",-4.0434771,39.6682065,
"Systems Evaluation Ltd, Kisumu","Systems Evaluation, we are at hand to guide you in reducing the risks of adverse events within your clinical areas, we use patient safety indicators to assist you to better evaluate outcomes and prioritize on improvement measures.",Consultancy and Training,0716382496,,info@systemsevaluation.co.ke,www.systemsevaluation.co.ke,Kisumu,"Lutheran Church Compound,Ondiek Highway off Nairobi Road,P.O. Box 270 - 40100Kisumu.",-1.2920659,36.8219462,https://www.kenyaplex.com/businesslogos/98969.jpg
"HK Motors Kenya Ltd, Nairobi","HK Motors Kenya Limited is a manufacturing and assembling company established and registered in Kenya with the sole purpose of making high-quality vehicles that can be used for a huge number of activities. The vehicles are best for construction, transport and other tasks that require great machinery power.",Car Importers,020-2617700,0722-837999,info@hkmotorskenya.com,http://www.hkmotorskenya.com/,Nairobi,"HK MOTORS KENYA LTDMombasa Rd, Opposite Sameer Business Park,Between Lab & Allied and Plaza 2000,Nairobi, Kenya.Tel: 020-2617700, 0722-837999",-0.023559,37.906193,https://www.kenyaplex.com/businesslogos/98968.jpg
"Kenya Safari Deals, Nairobi","Kenya Safari Deals is a premier tour operator with passion in provision of exemplary services in tourism industry in Kenya, Get seamless tour packages, luxury and budget trips to scenic wildlife parks in Kenya and Tanzania.",Tours and Safaris,+254733383758,,info@kenyasafarideals.com,https://www.kenyasafarideals.com/,Nairobi,"Buru Buru Shopping Complex,Nairobi",-1.2871322,36.8742048,https://www.kenyaplex.com/businesslogos/98967.jpg
"Budget Automobile Assessors Ltd, Nairobi","We do Motor vehicle valuation, accident assessment and general motoring consultations.",Motorvehicle Assessors and Valuers,0720711399,0203565829,budgetautoassessors@gmail.com,,Nairobi,P.O. Box 4667-00100  Nairobi,-1.2920659,36.8219462,
"Qualitas Company Limited - Hydrated Lime, Nairobi","We are distributors of Lime Chemicals; Hydrated Lime, Agri Lime, Dolomitic Agri Lime, Animal Feed Lime and Quick lime.","Contractors-Building, General",0722200703,0735200703,qualitascompanylimited@gmail.com,,Nairobi,P.O. BOX 7537-00100Nairobi,-1.2920659,36.8219462,https://www.kenyaplex.com/businesslogos/98964.jpg
"JF Consultants Limited, Nairobi","We are business-minded professionals who are committed to adding value to your business.  Drawing upon our wealth of experience and expertise, together with our comprehensive range of services we work closely with you, our clients, as your business adviser to maximize your capability for generating profits or delivering servicesWe are leading provider of high quality, cost-effective and innovative professional business solutions in audit and assurance, accounting, finance, taxation, management and consulting in Kenya.",Consultants,,,jfconsultantsltd@gmail.com,,Nairobi,P.O. Box 242 - 00519 Nairobi,-1.2920659,36.8219462,https://www.kenyaplex.com/businesslogos/98962.jpg
"254Sun News, Nairobi",254Sun News is an Online Newspaper Publication for Kenyan Informations.,News Agencies and Services,0704952519,,admin@254sun.co.ke,www.254sun.co.ke,Nairobi,City Square,32.7789863,-96.77825829999999,https://www.kenyaplex.com/businesslogos/98960.jpg
"Marvel Courier and Delivery Services Limited, Nairobi","Marvel Courier Limited is a last mile delivery company that offers affordable EXPRESS same day delivery services. You, the customer, are our heartbeat, and we are here to ensure your logistics needs are professionally taken care of; leaving you and your customers happy.",Courier Services,0797557226,0797557227,info@marvelcourier.com,www.marvelcourier.com,Nairobi,"APPLEWOOD COMMERCIAL CENTRENGONG ROAD, OPPOSITE ADAMS ARCADEOFFICE NO. AWH 100810TH FLOOR",-1.2994539,36.7809733,https://www.kenyaplex.com/businesslogos/98946.jpg
"Mzizzi, Nairobi","Mzizzi, provides you with an e-commerce shop that has built-in payments, and delivery service.We provide a safe and convenient platform for your customers to buy from you.",E- Commerce Services,0705445566,,shop@mzizzi.com,https://www.mzizzi.com/,Nairobi,Mzizzi17 Galana RoadNairobi Kenya+254 705 445566,-2.3948116,38.9660141,https://www.kenyaplex.com/businesslogos/98945.jpg
"Lees Scrap Metal Dealers Kenya, Nairobi",We buy scrap metal from all over the country.,Scrap Metal Dealers,0726551200,0754078137,Leesagency@outlook.com,www.scrapmetaldealerkenya.com,Nairobi,"767,Ruraka Nairobi.",-1.2456719,36.8815276,
"Greenliving Plus, Mombasa","Greenliving Plus is an online store offering a wide range of nutritional supplements, vitamins, powders, herbs, fat burners, slimming products and so much more. We deliver nationwide within Kenya. Our products are from Green world, a well known respected international brand.","Nutrition, Health, Diet",0712703878,0791364050,info@greenlivingplus.co.ke,greenlivingplus.co.ke,Mombasa,"Madina Estate, Opp Khadija Primary School.New Mombasa-Malindi HighwayP.O Box 90780-80100Mombasa",5.666151699999999,-0.1582766,https://www.kenyaplex.com/businesslogos/98943.jpg
"Land Plan Surveys, Machakos","We offer a broad range of land surveying services. Our registered land surveyors obtain credit in doing their job efficiently and accurately. They utilize state-of-the-art technology in the field, as well as the most current software in the office to ensure the product they deliver meets your unique needs.Whether you need to define the  boundaries  of your property, or  stake out a site  in preparation for construction, our registered land surveyors will quickly and accurately provide you with a customized solution for your needs.",Surveyors,0722334017,,info@landplansurveys.com,www.landplansurveys.com,Machakos,"Kitanga House, Opposite Kenyatta StadiumMachakos",-1.5201399,37.2645598,
"St. Patrick's Cyber Cafe, Nairobi","The services offered here include photocopying, binding,lamination,scanning,business card printing and color printing.",Cyber Cafes,0715272251,,patrickmusili1989@gmail.com,https://sites.google.com/view/st-patricks-cyber-cafe/home,Nairobi,"Nairobi, Kenya",-1.2920659,36.8219462,https://www.kenyaplex.com/businesslogos/98935.jpg
"Klassik Royale Entertainment, Nairobi","Is a full-service management, music publishing &entertainment company. P: 0777788804/0780888080 E: Klassikworld@gmail.com #iAmKlassik",Entertainers,+254780888080,+254777788804,Klassikworld@gmail.com,"www,klassikroyale.com",Nairobi,"Nairobi, Kenya",-1.2920659,36.8219462,https://www.kenyaplex.com/businesslogos/98933.jpg
"Real Driving School, Nyeri",Real driving school is a reputable driving school found in the heart of Nyeri town offering the following courses.1. Defensive driving2. Basic mechanics.3. Full driving course.4. First aidIt has qualified management and tutors. Join us today.,School and College Suppliers,0720653647,0723744482,realdrivingschool2018@gmail.com,www.realdrivingschool.com,Nyeri,"PO BOX 1743-10100,NyeriTel: 0720653647Nyeri Shopping Complex, Room 16, 2nd Floor",40.4499809,-79.98700989999999,
"Yangu services Ltd, Nairobi",We offer free domain search and registration via sms with one year hosting at Ksh 2999. Renewable.Just dial *483*9#.,Website Developers,0741224794,,Yanguservices@gmail.com,yangu.me,Nairobi,"Blue violet plaza,kindaruma rd",-1.2974024,36.79268,
"Musicland Music Shop, Nairobi","East and central Africa leading musical equipment store with range of guitars , violin ,speakers , mixers, keyboards, drum sets , cellos , recording  studio equipment , Dj equipment , music books etc",Musical Instruments - Dealers and Repairs,0725414772,,musiclandnairobi@gmail.com,http://www.musiclandkenya.com/,Nairobi,"Nairobi: Moi Avenue, Near  Club RumourzP.O. BOX 000-00100Nairobi Kenya",-1.2842538,36.824463,https://www.kenyaplex.com/businesslogos/98926.jpg
"Invensis Learning, Nairobi","Invensis Learning, a pioneer training organization that delivers universally recognized certifications such as PMP, PRINCE2, ITIL, COBIT 5, Lean Six Sigma, DevOps, Cloud and more across the globe. Our expert trainers have 10+ years of international training and consulting experience and have earned outstanding feedback worldwide. With comprehensive knowledge of industry's best practices and trends that revolve around learner-centricity, we offer learning and development initiatives that are in sync with organizational purposes. Our certification programs have global approval and accreditations to provide these courses worldwide. We are an AXELOS Certified Partner and our certification courses are accredited by PEOPLECERT and TUV SUD.",Education Consultants,+1 910-726-3695,,ryan@invensislearning.com,https://www.invensislearning.com/ke/,Nairobi,"Purshottam Place, Chiromo Road, West Midlands Museum Hill, Nairobi, Kenya",-1.272638,36.811414,
Happy Eggs in Thika,"We are in the wholesale business and our customers will be anyone who is need of eggs.We are based in Thika,Ngoingwa estate.We collaborate on decisions around the eggs being delivered to customers or pick-ups from agreed location.We also negotiate prices and make it fair for all.Try happy eggs today and stay happy.",Eggs Suppliers,0778662424,,consoh.kijo@gmail.com,,Thika,227-00100 Thika.,-1.0387569,37.0833753,
"Finleighs Frontiers, Machakos","Our services include vehicle fleet for self drive, Corporates & individuals, purpose-built tour vehicle fleet, competent and pleasant chauffeurs and full-time professional tour guidesguides guides for private groups. Our mission to provide quality service that exceeds its customers expectations, is fully integrated in our operations. With a proven track record and promise to deliver, we strive to ensure that we are and remain the perfect solution to Transport and Tour requirements in East Africa. We have a wide range of various capacity vehicles 62 seater buses, 57 seater luxury buses, 52 seater buses, 33 seater buses, 25-seater mini buses, 9-seater mini vans, 7 seater VIP mini vans, 4x4s and saloon cars.",Car Hire,0726433486,,info@finleighs.co.ke,www.finleighs.co.ke,MACHAKOS,"Office:J.K. Ibisu buildng, ground floor room no. 4, Plot no. B/11/64 Mwatu wa Ngoma Road Opposite Gelian Hotel. P.O.Box 3333-90100 Machakos KenyaEmail:info@finleighs.co.keContacts:+254 726 433 486+254 774 946 996",-1.51772,37.268425,https://www.kenyaplex.com/businesslogos/98920.jpg
"Vinsatech Options, Thika","Dstv, Zuku, Startimes, Antenna installations in Thika.",Aerials and Antennas,0727122097,0732670100,bernkin@gmail.com,,Thika,P.O. BOX 1865 -01000 Thika,-1.0387569,37.0833753,
"Base Executive Spa, Barbershop and Salon, Thika",Body Massage Services SalonBarbershop Beauty Spa Services Gel,Beauty Parlors,0790257757,,myhotels.kenya@gmail.com,https://base-executive-spa-barber-salon.business.site/?m=true,Thika,Thika Town,-1.0387569,37.0833753,
"Star Dental Clinics, Nairobi",A dental clinic that gives you a five star service.,Dental Clinics,+254721801333,+254717123440,info@stardent.co.ke,www.stardent.co.ke,Nairobi,"Silverpool Office Suites,Jabavu lane, Hurlingham NairobiBox 7883 - 00610 Nairobi",-1.29352,36.7969083,https://www.kenyaplex.com/businesslogos/98914.jpg
"Goodeal Computers, Mombasa","We sell laptops, computers and computer accessories that are of high quality at an affordable price. You are welcome to visit us for all your computer accessory needs.",Computer repair and accessories,0720529915,,goodealcomputers@gmail.com,,Mombasa,"Mombasa. Mwembe Tayari, Raha leo street, opposite Coast safari Hotel.",-4.057632,39.6698988,https://www.kenyaplex.com/businesslogos/98913.jpg
"Motomotor Logistics Support Services, Nairobi","Kenyas leading motor vehicle, boats. equipment and industrial machines online parts portal. we have all parts from leading brands such as Toyota, Nissan, Mercedes Benz, Volvo , CAT. TAW, Shantui, XCMG and many others. Visit our web site for more",Motorvehicle Parts and Supplies,+254713430974,,Sales@motomotor.co.ke,www.motomotor.co.ke,Nairobi,"Lunga Lunga RoadP.O Box 252-00502Karen, Nairobi , Kenya",-1.3074645,36.8724596,https://www.kenyaplex.com/businesslogos/98912.jpg
"Timhomes Limited, Nairobi",Timhomes was incorporated under the Companies Act and became Limited on 26th April 1996. We are registered with National Construction Authority for Building works Category 4. Our main categories of work are:-- Office partitioning.- Interior special finishes.- Waterproofing- Metal fabrication- Vertical blinds & carpeting- Paint works.,Painting Contractors,0206004260,0722529079,info@timhomesltd.com,www.timhomesltd.com,Nairobi,"PO. Box 3720-00506, Nairobi",-1.2920659,36.8219462,
